bom_item,part_type,required_voltage_v,min_temp_c,max_temp_c,deployment_environment
BOM-A,sensor_interface,24,-20,70,outdoor_enclosure
BOM-B,sensor_interface,24,0,50,indoor_panel
BOM-C,power_relay,24,-10,65,high_vibration_cabinet
BOM-D,connector,5,-10,40,indoor_panel
BOM-A-G001-A369,sensor_interface_g001-a369,24,-20,70,outdoor_enclosure_g001-a369
BOM-B-G001-A369,sensor_interface_g001-a369,24,0,50,indoor_panel_g001-a369
BOM-C-G001-A369,power_relay_g001-a369,24,-10,65,high_vibration_cabinet_g001-a369
BOM-D-G001-A369,connector_g001-a369,5,-10,40,indoor_panel_g001-a369
BOM-A-G002-F2B3,sensor_interface_g002-f2b3,24,-20,70,outdoor_enclosure_g002-f2b3
BOM-B-G002-F2B3,sensor_interface_g002-f2b3,24,0,50,indoor_panel_g002-f2b3
BOM-C-G002-F2B3,power_relay_g002-f2b3,24,-10,65,high_vibration_cabinet_g002-f2b3
BOM-D-G002-F2B3,connector_g002-f2b3,5,-10,40,indoor_panel_g002-f2b3
BOM-A-G003-4768,sensor_interface_g003-4768,24,-20,70,outdoor_enclosure_g003-4768
BOM-B-G003-4768,sensor_interface_g003-4768,24,0,50,indoor_panel_g003-4768
BOM-C-G003-4768,power_relay_g003-4768,24,-10,65,high_vibration_cabinet_g003-4768
BOM-D-G003-4768,connector_g003-4768,5,-10,40,indoor_panel_g003-4768
BOM-A-G004-8D30,sensor_interface_g004-8d30,24,-20,70,outdoor_enclosure_g004-8d30
BOM-B-G004-8D30,sensor_interface_g004-8d30,24,0,50,indoor_panel_g004-8d30
BOM-C-G004-8D30,power_relay_g004-8d30,24,-10,65,high_vibration_cabinet_g004-8d30
BOM-D-G004-8D30,connector_g004-8d30,5,-10,40,indoor_panel_g004-8d30
BOM-A-G005-0E54,sensor_interface_g005-0e54,24,-20,70,outdoor_enclosure_g005-0e54
BOM-B-G005-0E54,sensor_interface_g005-0e54,24,0,50,indoor_panel_g005-0e54
BOM-C-G005-0E54,power_relay_g005-0e54,24,-10,65,high_vibration_cabinet_g005-0e54
BOM-D-G005-0E54,connector_g005-0e54,5,-10,40,indoor_panel_g005-0e54
BOM-A-G006-401D,sensor_interface_g006-401d,24,-20,70,outdoor_enclosure_g006-401d
BOM-B-G006-401D,sensor_interface_g006-401d,24,0,50,indoor_panel_g006-401d
BOM-C-G006-401D,power_relay_g006-401d,24,-10,65,high_vibration_cabinet_g006-401d
BOM-D-G006-401D,connector_g006-401d,5,-10,40,indoor_panel_g006-401d
BOM-A-G007-318A,sensor_interface_g007-318a,24,-20,70,outdoor_enclosure_g007-318a
BOM-B-G007-318A,sensor_interface_g007-318a,24,0,50,indoor_panel_g007-318a
BOM-C-G007-318A,power_relay_g007-318a,24,-10,65,high_vibration_cabinet_g007-318a
BOM-D-G007-318A,connector_g007-318a,5,-10,40,indoor_panel_g007-318a
BOM-A-G008-8069,sensor_interface_g008-8069,24,-20,70,outdoor_enclosure_g008-8069
BOM-B-G008-8069,sensor_interface_g008-8069,24,0,50,indoor_panel_g008-8069
BOM-C-G008-8069,power_relay_g008-8069,24,-10,65,high_vibration_cabinet_g008-8069
BOM-D-G008-8069,connector_g008-8069,5,-10,40,indoor_panel_g008-8069
BOM-A-G009-8C48,sensor_interface_g009-8c48,24,-20,70,outdoor_enclosure_g009-8c48
BOM-B-G009-8C48,sensor_interface_g009-8c48,24,0,50,indoor_panel_g009-8c48
BOM-C-G009-8C48,power_relay_g009-8c48,24,-10,65,high_vibration_cabinet_g009-8c48
BOM-D-G009-8C48,connector_g009-8c48,5,-10,40,indoor_panel_g009-8c48
